caseId,createdAt,completedAt,cycleTimeHours,revisionCount,rejectionCount,stageCount,status,priority,departmentId
Application_1193723578,2016-01-02T11:32:06.644000+00:00,2016-01-14T15:16:16.683000+00:00,291.74,1,3,5,rejected,Medium,User_1
Application_2049529862,2016-01-02T12:00:10.887000+00:00,2016-01-18T12:40:36.648000+00:00,384.67,0,0,5,pending,Medium,User_1
Application_1699757505,2016-01-02T12:04:29.676000+00:00,2016-01-12T10:55:29.394000+00:00,238.85,2,0,5,pending,Low,User_1
Application_493034835,2016-01-02T12:24:39.241000+00:00,2016-01-12T12:13:45.151000+00:00,239.82,0,0,3,pending,Low,User_3
Application_842511489,2016-01-02T12:35:04.926000+00:00,2016-01-11T10:35:23.663000+00:00,214.01,0,0,3,pending,Medium,User_3
Application_1474017032,2016-01-02T12:38:45.653000+00:00,2016-01-15T08:31:04.469000+00:00,307.87,1,0,4,pending,Medium,User_3
Application_1397856354,2016-01-02T12:54:35.336000+00:00,2016-02-04T07:00:32.965000+00:00,786.1,0,0,2,rejected,Low,User_52
Application_767475240,2016-01-02T13:02:58.729000+00:00,2016-02-01T08:10:25.250000+00:00,715.12,5,0,4,pending,Medium,User_17
Application_980495316,2016-01-02T13:03:23.652000+00:00,2016-01-29T12:20:25.487000+00:00,647.28,0,0,4,pending,High,User_52
Application_2035768049,2016-01-02T13:07:12.386000+00:00,2016-01-15T14:04:14.113000+00:00,312.95,0,0,3,pending,Medium,User_52
Application_1307111345,2016-01-02T13:11:46.112000+00:00,2016-01-15T08:16:50.455000+00:00,307.08,0,0,4,pending,Medium,User_52
Application_821425679,2016-01-02T13:18:32.154000+00:00,2016-01-11T14:58:57.029000+00:00,217.67,0,0,4,pending,Medium,User_52
Application_1294530310,2016-01-02T13:54:22.116000+00:00,2016-01-22T07:06:35.343000+00:00,473.2,0,0,4,pending,Medium,User_38
Application_470922426,2016-01-02T14:04:02.686000+00:00,2016-01-22T13:07:06.442000+00:00,479.05,0,0,3,pending,High,User_52
Application_1461440233,2016-01-02T14:49:26.671000+00:00,2016-02-29T07:01:39.328000+00:00,1384.2,1,0,3,rejected,Medium,User_1
Application_857715587,2016-01-02T14:59:43.597000+00:00,2016-02-02T07:00:33.791000+00:00,736.01,0,0,2,rejected,High,User_3
Application_351152063,2016-01-02T15:05:26.838000+00:00,2016-01-15T10:42:14.239000+00:00,307.61,0,0,3,pending,Low,User_52
Application_1547844908,2016-01-02T15:09:45.377000+00:00,2016-01-14T14:17:09.978000+00:00,287.12,1,0,4,pending,High,User_17
Application_2055987002,2016-01-02T15:36:05.498000+00:00,2016-01-11T16:04:09.612000+00:00,216.47,0,0,3,pending,Medium,User_17
Application_1118236712,2016-01-02T16:18:10.582000+00:00,2016-02-06T07:12:29.130000+00:00,830.91,0,0,3,rejected,Medium,User_1
Application_1234535641,2016-01-02T16:23:04.942000+00:00,2016-02-29T07:01:33.745000+00:00,1382.64,1,0,3,rejected,Low,User_1
Application_1898882436,2016-01-02T16:28:40.753000+00:00,2016-01-13T10:00:56.606000+00:00,257.54,0,0,5,pending,Low,User_1
Application_2113276114,2016-01-02T16:46:47.829000+00:00,2016-01-22T08:32:26.943000+00:00,471.76,0,0,5,pending,Low,User_1
Application_1603124379,2016-01-02T16:57:47.627000+00:00,2016-01-12T10:20:22.065000+00:00,233.38,1,0,5,pending,Medium,User_1
Application_2110144842,2016-01-02T17:28:46.400000+00:00,2016-02-04T07:00:41.421000+00:00,781.53,0,0,3,rejected,Medium,User_1
Application_486645986,2016-01-02T18:36:32.396000+00:00,2016-01-15T15:48:10.861000+00:00,309.19,1,0,5,pending,High,User_1
Application_587387633,2016-01-02T19:08:09.318000+00:00,2016-01-19T11:11:36.470000+00:00,400.06,0,0,4,pending,High,User_1
Application_901793095,2016-01-02T19:31:09.947000+00:00,2016-01-14T14:43:43.719000+00:00,283.21,0,0,5,pending,Low,User_1
Application_340403559,2016-01-02T20:06:53.324000+00:00,2016-02-29T07:01:44.546000+00:00,1378.91,1,0,3,rejected,Medium,User_1
Application_1825104006,2016-01-02T20:20:30.638000+00:00,2016-02-29T07:01:41.180000+00:00,1378.69,4,0,3,rejected,Medium,User_1
Application_1530322400,2016-01-02T20:55:17.129000+00:00,2016-02-05T14:41:15.460000+00:00,809.77,0,0,5,rejected,Low,User_1
Application_593655901,2016-01-02T21:46:09.069000+00:00,2016-02-29T07:01:55.191000+00:00,1377.26,1,0,3,rejected,Low,User_1
Application_1535675187,2016-01-02T22:21:24.654000+00:00,2016-01-15T16:17:08.265000+00:00,305.93,0,0,5,pending,Low,User_1
Application_1767756144,2016-01-03T03:12:06.921000+00:00,2016-01-15T10:47:08.148000+00:00,295.58,1,0,4,pending,Medium,User_1
Application_1405679737,2016-01-03T08:02:41.184000+00:00,2016-03-22T16:53:06.515000+00:00,1904.84,0,0,5,rejected,Low,User_1
Application_446334558,2016-01-03T08:22:08.002000+00:00,2016-02-06T07:12:38.370000+00:00,814.84,1,0,3,rejected,Low,User_1
Application_130460765,2016-01-03T08:40:31.866000+00:00,2016-01-18T13:49:58.251000+00:00,365.16,1,0,4,pending,Medium,User_1
Application_1300843234,2016-01-03T09:06:51.553000+00:00,2016-01-12T11:00:35.440000+00:00,217.9,1,3,5,rejected,Medium,User_1
Application_1588619628,2016-01-03T09:57:28.137000+00:00,2016-02-29T07:02:06.241000+00:00,1365.08,2,0,3,rejected,Medium,User_1
Application_505474597,2016-01-03T09:58:49.721000+00:00,2016-01-13T15:25:38.889000+00:00,245.45,2,0,4,pending,Low,User_1
Application_1765204099,2016-01-03T09:58:59.556000+00:00,2016-01-13T15:30:46.976000+00:00,245.53,1,0,4,pending,Low,User_1
Application_1624825294,2016-01-03T10:18:46.540000+00:00,2016-02-09T08:01:45.244000+00:00,885.72,0,0,5,rejected,Low,User_1
Application_1448214642,2016-01-03T10:38:25.737000+00:00,2016-01-15T14:43:48.053000+00:00,292.09,1,0,5,pending,Low,User_1
Application_987262285,2016-01-03T10:59:06.782000+00:00,2016-01-12T09:32:11.993000+00:00,214.55,0,2,4,rejected,Low,User_1
Application_1845547664,2016-01-03T12:14:04.858000+00:00,2016-01-13T14:58:00.152000+00:00,242.73,1,0,5,pending,Low,User_1
Application_1947648225,2016-01-03T12:40:33.815000+00:00,2016-03-24T07:00:35.329000+00:00,1938.33,2,0,3,rejected,Medium,User_1
Application_1130101747,2016-01-03T12:46:54.868000+00:00,2016-01-22T08:07:07.260000+00:00,451.34,0,0,5,pending,Medium,User_1
Application_798605556,2016-01-03T14:01:52.706000+00:00,2016-01-12T09:26:12.165000+00:00,211.41,0,0,3,rejected,High,User_1
Application_2062932311,2016-01-03T14:35:53.926000+00:00,2016-01-13T13:57:14.664000+00:00,239.36,0,0,5,pending,Medium,User_1
Application_430902047,2016-01-03T15:35:18.353000+00:00,2016-01-25T14:56:36.383000+00:00,527.36,0,0,5,pending,Low,User_1
Application_1370588808,2016-01-03T16:10:23.744000+00:00,2016-02-05T07:00:23.180000+00:00,782.83,0,0,3,rejected,High,User_1
Application_163777174,2016-01-03T16:49:25.060000+00:00,2016-01-22T08:12:30.218000+00:00,447.38,0,0,5,pending,Medium,User_1
Application_909491524,2016-01-03T17:13:55.454000+00:00,2016-01-14T14:41:38.900000+00:00,261.46,0,0,5,pending,Medium,User_1
Application_396349881,2016-01-03T17:48:44.322000+00:00,2016-01-19T09:00:18.307000+00:00,375.19,0,2,5,rejected,Medium,User_1
Application_930742634,2016-01-03T18:44:02.905000+00:00,2016-02-04T17:12:45.755000+00:00,766.48,1,0,5,pending,Medium,User_1
Application_2068443797,2016-01-03T18:50:16.638000+00:00,2016-02-29T07:02:28.072000+00:00,1356.2,1,0,3,rejected,Medium,User_1
Application_354702724,2016-01-03T19:16:08.587000+00:00,2016-01-14T06:53:09.280000+00:00,251.62,1,0,4,pending,Low,User_1
Application_1357431492,2016-01-03T19:19:57.948000+00:00,2016-02-04T07:00:23.999000+00:00,755.67,0,0,3,rejected,Low,User_1
Application_584603670,2016-01-03T19:22:56.382000+00:00,2016-01-12T12:16:49.986000+00:00,208.9,0,0,5,pending,Low,User_1
Application_807916303,2016-01-03T19:27:30.771000+00:00,2016-03-03T14:42:56.592000+00:00,1435.26,1,0,5,pending,Medium,User_1
Application_283012951,2016-01-03T19:28:38.105000+00:00,2016-01-18T06:49:24.905000+00:00,347.35,0,0,5,pending,High,User_1
Application_1876456626,2016-01-03T19:38:39.293000+00:00,2016-01-15T12:26:14.056000+00:00,280.79,2,0,5,pending,Medium,User_1
Application_178025821,2016-01-03T20:06:42.225000+00:00,2016-01-22T08:43:50.945000+00:00,444.62,1,0,5,rejected,High,User_1
Application_813133375,2016-01-03T20:11:13.898000+00:00,2016-01-13T14:24:57.844000+00:00,234.23,2,0,5,pending,High,User_1
Application_268676496,2016-01-03T20:32:05.061000+00:00,2016-01-14T14:50:51.864000+00:00,258.31,3,0,5,pending,Low,User_1
Application_1870161219,2016-01-03T20:36:08.278000+00:00,2016-02-29T13:06:48.510000+00:00,1360.51,0,0,5,pending,High,User_1
Application_1723779444,2016-01-03T21:11:00.861000+00:00,2016-02-29T07:02:43.714000+00:00,1353.86,1,0,3,rejected,Low,User_1
Application_1339153511,2016-01-03T21:22:16.358000+00:00,2016-01-19T11:52:22.011000+00:00,374.5,0,0,5,pending,Medium,User_1
Application_1754646859,2016-01-03T21:23:24.985000+00:00,2016-02-29T07:02:39.680000+00:00,1353.65,1,0,3,rejected,Medium,User_1
Application_2002564265,2016-01-03T22:03:36.391000+00:00,2016-01-06T18:13:00.491000+00:00,68.16,0,0,3,rejected,Low,User_1
Application_1304234740,2016-01-04T00:27:52.920000+00:00,2016-01-28T17:02:45.618000+00:00,592.58,1,0,5,rejected,High,User_1
Application_58755651,2016-01-04T03:22:04.024000+00:00,2016-01-13T10:27:31.275000+00:00,223.09,2,4,4,rejected,High,User_1
Application_93597308,2016-01-04T04:01:40.814000+00:00,2016-01-22T16:04:06.926000+00:00,444.04,0,0,5,rejected,High,User_1
Application_774787486,2016-01-04T06:54:48.281000+00:00,2016-01-29T14:22:26.523000+00:00,607.46,1,3,4,rejected,Medium,User_1
Application_1660185664,2016-01-04T07:01:40.321000+00:00,2016-02-22T15:34:58.261000+00:00,1184.55,0,0,4,pending,Low,User_75
Application_2105878744,2016-01-04T07:31:20.774000+00:00,2016-01-25T15:11:34.626000+00:00,511.67,0,0,5,pending,Low,User_1
Application_1446096185,2016-01-04T08:08:21.242000+00:00,2016-01-22T08:46:23.618000+00:00,432.63,1,0,4,pending,Low,User_19
Application_675073178,2016-01-04T08:15:19.485000+00:00,2016-01-19T07:49:55.983000+00:00,359.58,0,0,4,pending,Medium,User_7
Application_952532843,2016-01-04T08:28:43.832000+00:00,2016-02-29T07:02:55.924000+00:00,1342.57,1,0,3,rejected,Low,User_1
Application_914660918,2016-01-04T08:36:08.826000+00:00,2016-01-26T12:12:52.813000+00:00,531.61,0,2,3,rejected,High,User_16
Application_167944225,2016-01-04T08:37:33.791000+00:00,2016-01-11T13:28:06.253000+00:00,172.84,0,2,4,rejected,Low,User_1
Application_1962860870,2016-01-04T08:40:19.338000+00:00,2016-01-11T10:34:36.603000+00:00,169.9,1,0,3,pending,Low,User_7
Application_1696031128,2016-01-04T08:40:23.096000+00:00,2016-01-11T13:58:55.174000+00:00,173.31,0,2,3,rejected,Medium,User_43
Application_803879893,2016-01-04T08:49:57.678000+00:00,2016-01-15T08:46:52.335000+00:00,263.95,0,0,4,pending,Medium,User_43
Application_1886382319,2016-01-04T08:51:28.458000+00:00,2016-02-29T07:03:05.345000+00:00,1342.19,1,0,2,rejected,Medium,User_2
Application_1250134245,2016-01-04T08:57:06.634000+00:00,2016-02-29T07:03:04.763000+00:00,1342.1,1,0,3,rejected,Low,User_1
Application_1044610848,2016-01-04T08:57:50.577000+00:00,2016-01-21T12:08:40.891000+00:00,411.18,0,0,3,pending,High,User_43
Application_1999238509,2016-01-04T09:01:10.521000+00:00,2016-01-27T13:48:32.043000+00:00,556.79,0,0,4,pending,Medium,User_3
Application_854524772,2016-01-04T09:06:22.173000+00:00,2016-01-22T07:51:20.557000+00:00,430.75,0,0,4,pending,Low,User_20
Application_927205634,2016-01-04T09:14:17.249000+00:00,2016-02-01T08:19:34.821000+00:00,671.09,0,0,4,rejected,Low,User_75
Application_484278024,2016-01-04T09:15:01.420000+00:00,2016-02-19T15:24:23.096000+00:00,1110.16,0,0,4,rejected,Low,User_47
Application_1674281629,2016-01-04T09:17:19.225000+00:00,2016-01-07T12:02:39.182000+00:00,74.76,1,0,3,pending,High,User_43
Application_299986859,2016-01-04T09:23:38.465000+00:00,2016-01-12T13:16:41.630000+00:00,195.88,0,0,3,pending,High,User_43
Application_1374020543,2016-01-04T09:24:01.741000+00:00,2016-02-17T13:04:56.645000+00:00,1059.68,0,0,4,pending,High,User_14
Application_1252717204,2016-01-04T09:38:02.346000+00:00,2016-03-08T11:32:37.332000+00:00,1537.91,3,0,3,pending,Medium,User_3
Application_24648067,2016-01-04T09:42:16.359000+00:00,2016-01-15T09:14:48.703000+00:00,263.54,0,0,3,pending,Medium,User_14
Application_1823402778,2016-01-04T09:46:10.645000+00:00,2016-01-15T14:54:49.368000+00:00,269.14,2,0,4,pending,Medium,User_1
Application_2108937169,2016-01-04T09:50:49.366000+00:00,2016-01-22T07:03:32.160000+00:00,429.21,0,0,4,pending,Low,User_19
Application_895241174,2016-01-04T10:06:39.718000+00:00,2016-01-14T12:40:03.190000+00:00,242.56,2,0,3,pending,Medium,User_47
Application_1290239114,2016-01-04T10:10:35.773000+00:00,2016-01-13T10:55:51.425000+00:00,216.75,0,0,4,pending,Medium,User_1
Application_1787371920,2016-01-04T10:18:31.591000+00:00,2016-01-14T08:16:42.684000+00:00,237.97,0,0,4,pending,Medium,User_47
Application_1471099537,2016-01-04T10:26:46.907000+00:00,2016-01-12T09:44:57.625000+00:00,191.3,1,0,3,pending,Medium,User_47
Application_37839400,2016-01-04T10:31:47.066000+00:00,2016-02-03T14:07:44.408000+00:00,723.6,0,0,4,pending,High,User_43
Application_1128910355,2016-01-04T10:38:47.611000+00:00,2016-02-27T09:54:22.421000+00:00,1295.26,1,0,4,rejected,Low,User_89
Application_54405635,2016-01-04T10:40:54.565000+00:00,2016-02-05T07:00:24.682000+00:00,764.33,0,0,2,rejected,Low,User_47
Application_395903076,2016-01-04T10:43:43.965000+00:00,2016-01-13T09:41:23.174000+00:00,214.96,0,0,4,pending,Medium,User_1
Application_1859638703,2016-01-04T10:44:47.654000+00:00,2016-01-12T15:32:52.632000+00:00,196.8,1,0,5,pending,Medium,User_1
Application_1101997724,2016-01-04T10:59:33.699000+00:00,2016-01-21T18:42:41.041000+00:00,415.72,0,0,5,rejected,Medium,User_1
Application_74505494,2016-01-04T11:08:36.516000+00:00,2016-02-05T07:00:34.284000+00:00,763.87,1,0,3,rejected,Medium,User_1
Application_525275343,2016-01-04T11:13:38.021000+00:00,2016-01-13T13:06:53.061000+00:00,217.89,0,2,4,rejected,High,User_1
Application_106973225,2016-01-04T11:18:36.651000+00:00,2016-02-05T07:00:37.645000+00:00,763.7,0,0,3,rejected,High,User_1
Application_1315608886,2016-01-04T11:31:28.230000+00:00,2016-01-21T16:11:41.206000+00:00,412.67,0,0,5,pending,Medium,User_1
Application_1538441067,2016-01-04T11:37:00.036000+00:00,2016-01-28T08:09:43.824000+00:00,572.55,1,0,4,rejected,Medium,User_16
Application_822724921,2016-01-04T11:48:25.026000+00:00,2016-01-11T16:29:16.976000+00:00,172.68,1,0,5,pending,High,User_1
Application_2040511284,2016-01-04T11:53:44.913000+00:00,2016-01-30T09:57:53.661000+00:00,622.07,2,0,2,rejected,Low,User_28
Application_1754943309,2016-01-04T12:00:45.773000+00:00,2016-01-06T13:45:14.051000+00:00,49.74,0,0,3,rejected,Medium,User_1
Application_323012882,2016-01-04T12:11:04.602000+00:00,2016-01-11T15:11:37.827000+00:00,171.01,0,0,4,pending,Low,User_13
Application_347136910,2016-01-04T12:29:02.690000+00:00,2016-01-15T10:05:20.451000+00:00,261.6,0,0,5,pending,Medium,User_1
Application_1432907447,2016-01-04T12:35:53.327000+00:00,2016-01-22T08:17:51.488000+00:00,427.7,0,0,4,pending,Low,User_20
Application_1004303396,2016-01-04T12:38:39.579000+00:00,2016-01-29T12:51:12.804000+00:00,600.21,0,0,5,pending,Medium,User_1
Application_1096831814,2016-01-04T12:46:25.745000+00:00,2016-01-08T15:50:24.842000+00:00,99.07,1,0,4,pending,Medium,User_3
Application_1068218912,2016-01-04T12:51:45.303000+00:00,2016-02-29T07:01:00.422000+00:00,1338.15,1,0,3,rejected,Low,User_1
Application_709929024,2016-01-04T12:53:54.012000+00:00,2016-01-12T13:37:49.780000+00:00,192.73,1,0,4,pending,Low,User_1
Application_347787380,2016-01-04T13:13:04.002000+00:00,2016-02-16T10:57:27.366000+00:00,1029.74,1,0,3,pending,High,User_10
Application_1546754076,2016-01-04T13:22:34.418000+00:00,2016-01-21T12:50:00.980000+00:00,407.46,0,0,5,pending,Medium,User_1
Application_1365381023,2016-01-04T13:29:31.474000+00:00,2016-02-29T07:00:57.084000+00:00,1337.52,1,0,3,rejected,Low,User_1
Application_1981969728,2016-01-04T13:30:37.154000+00:00,2016-01-22T07:28:05.263000+00:00,425.96,0,0,5,pending,High,User_1
Application_665878125,2016-01-04T13:34:14.237000+00:00,2016-02-29T07:00:55.244000+00:00,1337.44,1,0,2,rejected,Medium,User_38
Application_1044911465,2016-01-04T13:39:34.635000+00:00,2016-02-29T07:00:56.077000+00:00,1337.36,1,0,3,rejected,Medium,User_1
Application_1613424593,2016-01-04T13:51:52.843000+00:00,2016-01-20T07:24:00.378000+00:00,377.54,1,0,5,pending,Medium,User_1
Application_862160604,2016-01-04T14:00:37.372000+00:00,2016-02-29T07:00:54.347000+00:00,1337.0,1,0,2,rejected,Medium,User_7
Application_60181210,2016-01-04T14:07:19.380000+00:00,2016-01-19T07:10:46.951000+00:00,353.06,0,0,5,pending,Medium,User_1
Application_369018038,2016-01-04T14:23:25.511000+00:00,2016-02-04T07:00:27.326000+00:00,736.62,0,0,2,rejected,Low,User_19
Application_920048730,2016-01-04T14:25:14.102000+00:00,2016-02-05T07:00:26.565000+00:00,760.59,1,0,2,rejected,High,User_31
Application_220402598,2016-01-04T14:34:30.218000+00:00,2016-02-05T07:00:25.080000+00:00,760.43,0,0,2,rejected,Medium,User_10
Application_1947668470,2016-01-04T14:40:06.912000+00:00,2016-01-18T09:51:44.718000+00:00,331.19,0,0,3,pending,Medium,User_10
Application_1301925609,2016-01-04T14:41:48.473000+00:00,2016-01-15T12:14:04.276000+00:00,261.54,0,0,4,pending,High,User_10
Application_2070389081,2016-01-04T14:43:23.489000+00:00,2016-01-14T06:57:32.006000+00:00,232.24,1,3,4,rejected,High,User_10
Application_864903752,2016-01-04T14:57:25.327000+00:00,2016-01-13T08:16:20.186000+00:00,209.32,1,3,5,rejected,Medium,User_1
Application_1159653941,2016-01-04T15:03:14.536000+00:00,2016-02-04T07:00:22.964000+00:00,735.95,0,0,2,rejected,Low,User_5
Application_663648942,2016-01-04T15:12:29.086000+00:00,2016-02-29T07:00:49.585000+00:00,1335.81,1,0,3,rejected,Medium,User_1
Application_1616009132,2016-01-04T15:30:10.904000+00:00,2016-01-22T06:54:32.025000+00:00,423.41,0,0,4,pending,Low,User_20
Application_53530491,2016-01-04T15:47:20.577000+00:00,2016-01-14T08:47:33.672000+00:00,233.0,0,0,3,pending,Low,User_19
Application_1953406738,2016-01-04T15:53:29.922000+00:00,2016-02-29T07:00:46.786000+00:00,1335.12,1,0,3,rejected,Low,User_1
Application_1413308979,2016-01-04T15:57:50.744000+00:00,2016-01-11T14:00:11.679000+00:00,166.04,0,0,3,rejected,Low,User_1
Application_1308403282,2016-01-04T16:04:35.836000+00:00,2016-01-22T07:56:50.582000+00:00,423.87,1,0,5,pending,Medium,User_1
Application_212010049,2016-01-04T16:19:59.986000+00:00,2016-01-14T09:20:39.945000+00:00,233.01,0,0,3,pending,Medium,User_5
Application_1946680177,2016-01-04T16:25:48.958000+00:00,2016-01-27T09:15:56.303000+00:00,544.84,0,0,5,pending,High,User_1
Application_948316229,2016-01-04T16:26:28.165000+00:00,2016-02-26T08:16:33.644000+00:00,1263.83,1,0,5,pending,High,User_1
Application_1138826038,2016-01-04T16:29:36.648000+00:00,2016-01-18T10:48:59.765000+00:00,330.32,0,0,5,pending,Low,User_1
Application_369105792,2016-01-04T16:53:54.402000+00:00,2016-01-06T08:50:04.878000+00:00,39.94,0,0,3,rejected,Low,User_1
Application_1998350808,2016-01-04T16:54:44.484000+00:00,2016-02-06T07:12:44.245000+00:00,782.3,0,0,3,rejected,Medium,User_1
Application_1301009504,2016-01-04T17:15:28.482000+00:00,2016-02-05T07:00:41.883000+00:00,757.75,0,0,3,rejected,High,User_1
Application_547462088,2016-01-04T17:22:28.970000+00:00,2016-02-05T07:00:32.268000+00:00,757.63,0,0,3,rejected,Medium,User_1
Application_223366470,2016-01-04T17:31:19.462000+00:00,2016-02-03T08:15:31.970000+00:00,710.74,0,0,4,rejected,Low,User_8
Application_1130151790,2016-01-04T17:48:54.583000+00:00,2016-02-04T07:00:32.610000+00:00,733.19,0,0,2,rejected,High,User_10
Application_1791187926,2016-01-04T17:58:09.645000+00:00,2016-02-29T07:00:37.997000+00:00,1333.04,2,0,3,rejected,Low,User_1
Application_421364849,2016-01-04T18:04:07.898000+00:00,2016-01-19T09:10:15.608000+00:00,351.1,0,0,4,pending,High,User_1
Application_1268592022,2016-01-04T18:09:14.763000+00:00,2016-01-22T08:30:41.306000+00:00,422.36,1,0,5,pending,Medium,User_1
Application_1955353500,2016-01-04T18:12:09.282000+00:00,2016-01-21T10:43:14.286000+00:00,400.52,0,0,4,pending,Medium,User_11
Application_485131054,2016-01-04T18:13:05.008000+00:00,2016-01-18T14:17:20.291000+00:00,332.07,1,3,3,rejected,Low,User_19
Application_1979402314,2016-01-04T18:17:40.702000+00:00,2016-02-29T07:00:29.366000+00:00,1332.71,3,0,3,rejected,Medium,User_1
Application_1723028098,2016-01-04T18:25:14.175000+00:00,2016-01-25T13:42:06.328000+00:00,499.28,0,2,4,rejected,High,User_1
Application_1946236735,2016-01-04T18:27:54.340000+00:00,2016-01-19T15:18:19.377000+00:00,356.84,0,0,4,pending,Medium,User_19
Application_1428307326,2016-01-04T18:43:26.266000+00:00,2016-01-11T14:42:17.325000+00:00,163.98,0,0,3,pending,High,User_20
Application_1310063638,2016-01-04T18:44:28.417000+00:00,2016-01-11T15:46:40.009000+00:00,165.04,0,2,4,rejected,Low,User_1
Application_1499869275,2016-01-04T18:45:24.250000+00:00,2016-02-16T08:30:44.275000+00:00,1021.76,0,0,4,rejected,High,User_20
